User Screen Name,Tweet,Time Created,
evehunter7,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:34 GMT 2014,
ChrisGriffin92,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:33 GMT 2014,
graemesteele13,What a result. @ScottishFA #SCOIRL,Fri Nov 14 21:39:33 GMT 2014,
CedricMackpayen,RT @KICKTV: Scotlan-celona? Great team goal. #SCOIRL #Euro2016Qualifiers https://t.co/7dCAEL2cvL,Fri Nov 14 21:39:33 GMT 2014,
StevenSportNews,What a huge win that is for Scotland!! They join Ireland on 7 points in Group D. What a game that was. Bring on England on Tuesday #SCOIRL,Fri Nov 14 21:39:33 GMT 2014,
dv_ly,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:33 GMT 2014,
mslouiseburns,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:33 GMT 2014,
ireland,Well  that's a pity. Scotland 1 - 0 Ireland. Bad second half. Best team win. Going to make things complicated. #SCOIRL,Fri Nov 14 21:39:33 GMT 2014,
lloydybhoy90,RT @ScottishFA: This. #SCOIRL #WeAreScotland http://t.co/zTcHEvtapj,Fri Nov 14 21:39:33 GMT 2014,
amcteirnan,Not happy: @FAIreland: FT: @ScottishFA 1-0 Ireland. #SCOIRL #COYBIG”,Fri Nov 14 21:39:33 GMT 2014,
Jeni116_,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:33 GMT 2014,
jordangilfoyle8,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:32 GMT 2014,
steven_stvn,@MACKYBHOY1 @steven_stvn: Hope Keough is sorted for the X factor the morra!!! #SCOIRL http://t.co/T2GGNf7165,Fri Nov 14 21:39:32 GMT 2014,
RangersFranky,FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland... http://t.co/LC3RgHUfyQ,Fri Nov 14 21:39:32 GMT 2014,
Kathryn_Batte96,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:32 GMT 2014,
connormckenna23,Ffs Ireland  played completely shit tonight #SCOIRL,Fri Nov 14 21:39:31 GMT 2014,
oil_jirayu,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:31 GMT 2014,
RangersFranky,FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland... http://t.co/jLCahbRSBH,Fri Nov 14 21:39:31 GMT 2014,
craiggandersonn,What a result this is a scotland team to be proud of being on the euros #SCOIRL,Fri Nov 14 21:39:31 GMT 2014,
lillyy_nicole,RT @KICKTV: Scotlan-celona? Great team goal. #SCOIRL #Euro2016Qualifiers https://t.co/7dCAEL2cvL,Fri Nov 14 21:39:31 GMT 2014,
OmcC7,RT @paddypower: To be fair  it's an excellent finish by Maloney  the bastard. #SCOIRL,Fri Nov 14 21:39:31 GMT 2014,
EoinKelly_,RT @FAIreland: Four minutes of John O'Shea time to be added on. #SCOIRL #COYBIG,Fri Nov 14 21:39:31 GMT 2014,
kitdowdall,Shown up for how mediocre we really are #ireland #SCOIRL,Fri Nov 14 21:39:31 GMT 2014,
shellwhiteman,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:31 GMT 2014,
keithforde92,RT @JOEdotie: FT Scotland win 1-0 and deserved it despite a late flurry from Ireland  #SCOIRL,Fri Nov 14 21:39:30 GMT 2014,
CraigRankin18,Questioned the decision to start Mulgrew but for me he was the best player on the park tonight #SCOIRL #Scotland,Fri Nov 14 21:39:30 GMT 2014,
KeirWotherspoon,Brilliant game  brilliant result. Well played Ireland but the best team won.. . #SCOIRL,Fri Nov 14 21:39:30 GMT 2014,
set_square,#SCOIRL Richard Keogh looks like the idiot cowboy who's the first to die in every western,Fri Nov 14 21:39:29 GMT 2014,
rees_smith,RT @ScottishFA: This. #SCOIRL #WeAreScotland http://t.co/zTcHEvtapj,Fri Nov 14 21:39:30 GMT 2014,
Kyle_Hendry,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:29 GMT 2014,
robertodev,YAS!!! #SCOIRL #WELLBECOMING http://t.co/kH74EEDFaV,Fri Nov 14 21:39:29 GMT 2014,
mrjdwilson,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:29 GMT 2014,
JamesGall13,That was way worse than any football we ever played under Trapattoni. Clueless. Spent the whole game aimlessly hoofing it #COYBIG #SCOIRL,Fri Nov 14 21:39:29 GMT 2014,
deli_1972,RT @pgrady10: Brings photobombing to a whole new level #SCOIRL @SportsJOEdotie http://t.co/WnZlHKfWWz,Fri Nov 14 21:39:29 GMT 2014,
O_Jay,Geiles Match  blödes Resultat.. #SCOIRL #COYBIG,Fri Nov 14 21:39:29 GMT 2014,
cnep80,Think the players boots are still soggy from all that rain. #COYBIG #SCOIRL ?,Fri Nov 14 21:39:29 GMT 2014,
muzrobertson,Scrappy  but oh so fun. #SCOIRL,Fri Nov 14 21:39:29 GMT 2014,
Mc1988,Well done Scotland  you deserved that to be fair #SCOIRL,Fri Nov 14 21:39:29 GMT 2014,
DoleenDoleen,RT @celticfc: A fantastic match with an amazing atmosphere  thank you to everyone who attended Celtic Park tonight. (NM) #SCOIRL,Fri Nov 14 21:39:29 GMT 2014,
VizualDze,RT @celticfc: A fantastic match with an amazing atmosphere  thank you to everyone who attended Celtic Park tonight. (NM) #SCOIRL,Fri Nov 14 21:39:29 GMT 2014,
SCWilkes95,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:29 GMT 2014,
Incy_43,Good game that.#SCOIRL,Fri Nov 14 21:39:29 GMT 2014,
SandraM1977,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:29 GMT 2014,
schreibrephorm,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:28 GMT 2014,
MaxZ0r1n,RT @celticfc: A fantastic match with an amazing atmosphere  thank you to everyone who attended Celtic Park tonight. (NM) #SCOIRL,Fri Nov 14 21:39:28 GMT 2014,
kylejames1875,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:28 GMT 2014,
GrahamIvers,I'm not going to blame the referee because Scotland were better the us  but he made some very strange decisions tonight #SCOIRL #IREvSCO,Fri Nov 14 21:39:28 GMT 2014,
fern_catherine,Ach  that was a good game #SCOIRL,Fri Nov 14 21:39:28 GMT 2014,
Justinorin11,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:28 GMT 2014,
ryazo,RT @LaticsOfficial: INTERNATIONALS: Full time @ScottishFA 1 @FAIreland 0 Shaun Maloney's fantastic goal settles it! #SCOIRL #wafc,Fri Nov 14 21:39:28 GMT 2014,
FinlayD,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:28 GMT 2014,
IMcCallum,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:28 GMT 2014,
dylanbarron1,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:27 GMT 2014,
daHawkeyeCaller,Crap  FT Scotland 1 Ireland 0. Guinness to the rescue! #scoIRL,Fri Nov 14 21:39:27 GMT 2014,
SPORT1_nl,Afgelopen! Schotland klopt Ierland met 1-0  Duitsland pakt Gibraltar met 4-0 #sport1 #scoirl #duigib,Fri Nov 14 21:39:27 GMT 2014,
Wright13Andrew,YAAAASSSSSS !!!! C'MON SCOTLAND !!!! #SCOIRL #Euro2016,Fri Nov 14 21:39:27 GMT 2014,
Documental38,oh thank fuck for that  heart was in my mouth at the end #SCOIRL,Fri Nov 14 21:39:27 GMT 2014,
JtotheORD4N,Yaaaaaaaaaaaaaaaaaas #SCOIRL,Fri Nov 14 21:39:27 GMT 2014,
edinspotlight,Yeeeeeessssssssss Scotland???? #SCOIRL,Fri Nov 14 21:39:27 GMT 2014,
DarrenMul,If Ireland started every game 1-0 down they'd be class. #SCOIRL,Fri Nov 14 21:39:27 GMT 2014,
MarkChristie97,RT @STVSport: FT Scotland 1-0 Republic of Ireland  http://t.co/TgDjsjZ6UY #SCOIRL http://t.co/GUg5HSCKCI,Fri Nov 14 21:39:27 GMT 2014,
GarethSBrown,And relax.... #SCOIRL,Fri Nov 14 21:39:27 GMT 2014,
5Townsley_DM,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:27 GMT 2014,
dirtywickr,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:27 GMT 2014,
mylessmith33,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:27 GMT 2014,
Tweet_Afton,Well done #Scotland. . . Just as well Wee Shaun Maloney didn't declare for Malaysia. . . #SCOIRL . #scotlandvireland,Fri Nov 14 21:39:26 GMT 2014,
CraigCarswell,RT @ScottishFA: FULL TIME | Scotland 1-0 @FAIreland | Maloney's goal seals a majestic victory! #SCOIRL #WeAreScotland @EuroQualifiers http:…,Fri Nov 14 21:39:26 GMT 2014,
Andy9498Lewis,RT @ScottishFA: This. #SCOIRL #WeAreScotland http://t.co/zTcHEvtapj,Fri Nov 14 21:39:26 GMT 2014,
